strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Female,age_category5,12.1,11.9,12.4,Grouped,"[35,40)","12.1 (11.9, 12.4)",218587,sex,Urban
Female,age_category5,11.6,11.4,11.8,Grouped,"[40,45)","11.6 (11.4, 11.8)",218587,sex,Urban
Female,age_category5,10.7,10.5,10.9,Grouped,"[45,50)","10.7 (10.5, 10.9)",218587,sex,Urban
Female,age_category5,8,7.8,8.2,Grouped,"[50,55)","8 (7.8, 8.2)",218587,sex,Urban
Female,age_category5,7.4,7.2,7.6,Grouped,"[55,60)","7.4 (7.2, 7.6)",218587,sex,Urban
Female,age_category5,5.9,5.7,6,Grouped,"[60,65)","5.9 (5.7, 6)",218587,sex,Urban
Female,age_category5,5,4.8,5.1,Grouped,"[65,70)","5 (4.8, 5.1)",218587,sex,Urban
Female,age_category5,2.7,2.6,2.9,Grouped,"[70,75)","2.7 (2.6, 2.9)",218587,sex,Urban
Female,age_category5,1.3,1.2,1.4,Grouped,"[75,80)","1.3 (1.2, 1.4)",218587,sex,Urban
Female,age_category5,0.8,0.7,0.9,Grouped,"[80,85)","0.8 (0.7, 0.9)",218587,sex,Urban
Female,age_category5,0.3,0.3,0.4,Grouped,"[85,90)","0.3 (0.3, 0.4)",218587,sex,Urban
Female,age_category5,0.1,0.1,0.2,Grouped,"[90,95)","0.1 (0.1, 0.2)",218587,sex,Urban
Female,age_category5,0.1,0,0.1,Grouped,"[95,100]","0.1 (0, 0.1)",218587,sex,Urban
Male,age_category5,3.8,3.7,3.9,Grouped,"[15,20)","3.8 (3.7, 3.9)",198903,sex,Urban
